m1,m2,m3,m4,m5,m6,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,total
0.5625,0.0,1.0,0,0,0.6875,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-11-2023-3-1-33,1362,0.515625,0.34375,0.2578125,0.171875,0.4296875
0.5625,0.0,1.0,0,0,0.6875,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-14-2023-13-4-16,1376,0.515625,0.34375,0.2578125,0.171875,0.4296875
0.5,0.0,1.0,0,0,0.7222222222222222,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-19-2023-17-50-51,1646,0.495,0.3611111111111111,0.2475,0.18055555555555555,0.4280555555555555
0.5625,0.0,1.0,0,0,0.625,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-2-2023-20-32-56,1383,0.515625,0.3125,0.2578125,0.15625,0.4140625
0.44,0.0,1.0,0,0,0.72,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-24-2023-20-36-58,2286,0.4752,0.36,0.2376,0.18,0.41759999999999997
0.44,0.0,1.0,0,0,0.72,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-28-2023-21-28-41,2288,0.4752,0.36,0.2376,0.18,0.41759999999999997
0.44,0.0,1.0,0,0,0.72,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-28-2023-21-34-25,2288,0.4752,0.36,0.2376,0.18,0.41759999999999997
0.44,0.0,1.0,0,0,0.72,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-28-2023-22-36-40,2288,0.4752,0.36,0.2376,0.18,0.41759999999999997
0.44,0.0,1.0,0,0,0.72,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-28-2023-22-36-7,2288,0.4752,0.36,0.2376,0.18,0.41759999999999997
0.44,0.0,1.0,0,0,0.72,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-28-2023-22-44-42,2288,0.4752,0.36,0.2376,0.18,0.41759999999999997
0.75,0.0,1.0,0,0,0.5,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-11-2022-13-53-22,66,0.5775,0.25,0.28875,0.125,0.41375
0.75,0.0,1.0,0,0,0.5,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-11-2022-18-27-31,66,0.5775,0.25,0.28875,0.125,0.41375
0.75,0.0,1.0,0,0,0.5,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-12-2022-12-41-30,66,0.5775,0.25,0.28875,0.125,0.41375
0.75,0.0,1.0,0,0,0.5,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-13-2022-1-10-40,66,0.5775,0.25,0.28875,0.125,0.41375
0.75,0.0,1.0,0,0,0.5,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-13-2022-1-11-45,66,0.5775,0.25,0.28875,0.125,0.41375
0.75,0.0,1.0,0,0,0.5,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-19-2022-0-40-31,66,0.5775,0.25,0.28875,0.125,0.41375
0.7333333333333333,0.06666666666666667,1.0,0,0,0.13333333333333333,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-26-2022-13-55-58,917,0.5940000000000001,0.06666666666666667,0.29700000000000004,0.03333333333333333,0.33033333333333337
0.7333333333333333,0.06666666666666667,1.0,0,0,0.4,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-27-2022-13-56-6,914,0.5940000000000001,0.2,0.29700000000000004,0.1,0.397
0.7333333333333333,0.06666666666666667,1.0,0,0,0.4,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-27-2022-13-57-10,914,0.5940000000000001,0.2,0.29700000000000004,0.1,0.397
0.7333333333333333,0.06666666666666667,1.0,0,0,0.4,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-27-2022-14-28-8,914,0.5940000000000001,0.2,0.29700000000000004,0.1,0.397
0.5,0.0,1.0,0,0,0.7,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-11-2023-3-3-44,544,0.495,0.35,0.2475,0.175,0.4225
0.5,0.0,1.0,0,0,0.7,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-17-48-31,548,0.495,0.35,0.2475,0.175,0.4225
0.5,0.0,1.0,0,0,0.7,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-18-1-43,548,0.495,0.35,0.2475,0.175,0.4225
0.5,0.0,1.0,0,0,0.7,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-18-2-11,548,0.495,0.35,0.2475,0.175,0.4225
0.5,0.0,1.0,0,0,0.7,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-19-55-49,548,0.495,0.35,0.2475,0.175,0.4225
